Index,Gryffindor Probability,Hufflepuff Probability,Ravenclaw Probability,Slytherin Probability,Real House
975,1,0,0,0,Gryffindor
234,0,1,0,0,Hufflepuff
1058,1,0,0,0,Gryffindor
705,0,1,0,0,Hufflepuff
1318,0,0,0,1,Slytherin
36,0,1,0,0,Hufflepuff
1500,0,0,1,0,Ravenclaw
236,0,0,0,1,Slytherin
1034,0,0,0,1,Slytherin
1167,0,0,1,0,Ravenclaw
905,0,0,0,1,Slytherin
270,1,0,0,0,Gryffindor
508,0,1,0,0,Hufflepuff
1118,0,0,0,1,Slytherin
1139,0,0,0,1,Slytherin
108,0,1,0,0,Hufflepuff
782,0,0,1,0,Ravenclaw
498,0,0,1,0,Ravenclaw
1104,0,0,1,0,Ravenclaw
1067,1,0,0,0,Gryffindor
1348,1,0,0,0,Gryffindor
1457,1,0,0,0,Gryffindor
332,0,1,0,0,Hufflepuff
989,0,0,1,0,Ravenclaw
1023,1,0,0,0,Gryffindor
630,1,0,0,0,Gryffindor
753,0,1,0,0,Hufflepuff
509,0,1,0,0,Hufflepuff
1252,0,1,0,0,Hufflepuff
358,0,0,1,0,Ravenclaw
634,0,0,1,0,Ravenclaw
850,0,0,1,0,Ravenclaw
1418,0,0,1,0,Ravenclaw
289,1,0,0,0,Gryffindor
545,0,0,1,0,Ravenclaw
1303,0,1,0,0,Hufflepuff
1599,0,1,0,0,Hufflepuff
520,0,1,0,0,Hufflepuff
278,0,1,0,0,Hufflepuff
1072,0,1,0,0,Hufflepuff
652,0,1,0,0,Hufflepuff
439,0,0,1,0,Ravenclaw
505,1,0,0,0,Gryffindor
555,0,1,0,0,Hufflepuff
237,0,0,1,0,Ravenclaw
334,0,0,1,0,Ravenclaw
1140,0,1,0,0,Hufflepuff
666,0,0,0,1,Slytherin
757,0,0,1,0,Ravenclaw
1388,0,0,1,0,Ravenclaw
981,1,0,0,0,Gryffindor
568,0,0,1,0,Ravenclaw
596,0,1,0,0,Hufflepuff
1264,0,0,0,1,Slytherin
24,0,0,1,0,Ravenclaw
906,0,1,0,0,Hufflepuff
1201,0,1,0,0,Hufflepuff
1076,0,0,1,0,Ravenclaw
463,0,0,1,0,Ravenclaw
13,0,0,0,1,Slytherin
946,0,1,0,0,Hufflepuff
144,1,0,0,0,Gryffindor
536,1,0,0,0,Gryffindor
54,1,0,0,0,Gryffindor
344,0,0,0,1,Slytherin
135,0,0,1,0,Ravenclaw
269,0,0,1,0,Ravenclaw
1330,1,0,0,0,Gryffindor
413,0,0,1,0,Ravenclaw
1512,0,0,1,0,Ravenclaw
1395,0,1,0,0,Hufflepuff
1079,0,0,0,1,Slytherin
1047,0,0,1,0,Ravenclaw
632,0,0,1,0,Ravenclaw
51,0,0,0,1,Slytherin
1044,0,0,1,0,Ravenclaw
1046,0,1,0,0,Hufflepuff
152,1,0,0,0,Gryffindor
165,0,1,0,0,Hufflepuff
721,0,0,1,0,Ravenclaw
1177,1,0,0,0,Gryffindor
483,0,0,0,1,Slytherin
161,0,1,0,0,Hufflepuff
1225,0,0,1,0,Ravenclaw
386,0,0,1,0,Ravenclaw
1288,0,0,1,0,Ravenclaw
9,0,1,0,0,Hufflepuff
106,0,0,0,1,Slytherin
319,0,1,0,0,Hufflepuff
1552,0,0,1,0,Ravenclaw
452,0,0,0,1,Slytherin
1184,0,1,0,0,Hufflepuff
842,0,0,0,1,Slytherin
218,1,0,0,0,Gryffindor
286,1,0,0,0,Gryffindor
154,0,0,0,1,Slytherin
1308,0,0,1,0,Ravenclaw
1112,0,1,0,0,Hufflepuff
589,0,0,1,0,Ravenclaw
822,0,0,0,1,Slytherin
514,0,1,0,0,Hufflepuff
320,0,1,0,0,Hufflepuff
314,1,0,0,0,Gryffindor
1451,1,0,0,0,Gryffindor
1393,0,0,0,1,Slytherin
1273,1,0,0,0,Gryffindor
953,0,1,0,0,Hufflepuff
835,1,0,0,0,Gryffindor
865,1,0,0,0,Gryffindor
102,0,0,1,0,Ravenclaw
79,0,1,0,0,Hufflepuff
750,0,1,0,0,Hufflepuff
478,1,0,0,0,Gryffindor
890,0,0,0,1,Slytherin
947,0,1,0,0,Hufflepuff
199,0,0,0,1,Slytherin
207,0,1,0,0,Hufflepuff
1463,0,1,0,0,Hufflepuff
1207,0,0,0,1,Slytherin
1006,0,1,0,0,Hufflepuff
525,0,0,1,0,Ravenclaw
575,1,0,0,0,Gryffindor
535,0,1,0,0,Hufflepuff
602,0,0,0,1,Slytherin
564,0,1,0,0,Hufflepuff
1190,0,0,0,1,Slytherin
613,0,1,0,0,Hufflepuff
276,0,0,1,0,Ravenclaw
641,0,0,0,1,Slytherin
466,1,0,0,0,Gryffindor
776,0,0,0,1,Slytherin
351,0,0,1,0,Ravenclaw
656,0,0,1,0,Ravenclaw
847,0,0,0,1,Slytherin
125,0,0,0,1,Slytherin
972,0,0,1,0,Ravenclaw
353,1,0,0,0,Gryffindor
1012,0,1,0,0,Hufflepuff
687,0,1,0,0,Hufflepuff
162,0,1,0,0,Hufflepuff
70,0,0,1,0,Ravenclaw
785,0,1,0,0,Hufflepuff
282,0,1,0,0,Hufflepuff
1364,0,0,1,0,Ravenclaw
229,0,1,0,0,Hufflepuff
1194,0,0,1,0,Ravenclaw
625,1,0,0,0,Gryffindor
1014,1,0,0,0,Gryffindor
388,0,0,1,0,Ravenclaw
1544,0,1,0,0,Hufflepuff
1043,0,0,1,0,Ravenclaw
362,0,0,1,0,Ravenclaw
1149,0,0,0,1,Slytherin
379,0,0,1,0,Ravenclaw
799,0,0,1,0,Ravenclaw
1409,0,1,0,0,Hufflepuff
3,1,0,0,0,Gryffindor
1107,0,1,0,0,Hufflepuff
250,0,0,1,0,Ravenclaw
1563,0,1,0,0,Hufflepuff
1533,0,0,1,0,Ravenclaw
367,0,1,0,0,Hufflepuff
1424,0,0,0,1,Slytherin
494,0,1,0,0,Hufflepuff
918,1,0,0,0,Gryffindor
1272,0,0,0,1,Slytherin
371,0,1,0,0,Hufflepuff
1588,0,0,0,1,Slytherin
167,0,1,0,0,Hufflepuff
1092,0,1,0,0,Hufflepuff
926,1,0,0,0,Gryffindor
